Names
A.K.Qirg‘izboyev
T.M.Abdullayev
R.Y.Xudoyberganov
M.T.Mirakmalov
T.J.Enazarov
V.T.Nafasova
X.O.Bo‘riyeva
K.M.Seytniyazov
A.D.O‘rozboyev
V.P.Nalivkin
B.X.Karmishov.
V.V.Radlov
I.V.Bouverning
I.I.Zarubin
SUVONOVA
TURDIYEVA
SHAKLDOSH
MENGLIYEV
BOYMATOVA
XUDOYBERDIYEVA
IBORALARINING
BOBOJONOV
ISLOMOV
BAHRIDDINOVA
XOLIYOROV
MUSULMONOVA
